,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,chocolate pudding fat free,105,0.3,0,0,0,23.6,17.8,2.2,0.3,1.1,0.1,86.1,0,0.021,0.060,0.069,0.046,0.022,0.2,0.084,0,0,0,0.098,44.1,0.035,1.9,17,0.040,61,235,0.052,0.3,72.4
1,1,tapioca pudding,143,4.3,1.1,2.8,0.088,23.9,16.4,2.1,0,1.1,0.2,79,0,0.025,0.003,0.021,0.1,0.031,0.3,0.052,0.3,0,0.2,0.010,78.1,0.026,0.1,6.6,0.096,66,101.2,0,0.2,108.8
2,2,tapioca pudding fat free,105,0.4,0.1,0.080,0.067,23.9,15.9,1.6,0,1.1,0.2,85.4,0,0.044,0.096,0.012,0.043,0.1,0.056,0.039,0.3,0,0.072,0,58.2,0.004,0.1,5.6,0.023,73.9,78.4,0,0.2,84.5
3,3,rice pudding,122,2.4,1.4,0.6,0.1,20.8,13.1,3.6,0.3,13.6,0.1,84.9,0.043,0.002,0.098,0.089,0.098,0.2,0.2,0.4,0.074,1.5,0,0.011,0.063,107.4,0.014,0.1,9,0.1,92.7,141.3,0.083,27.329
4,4,corn pudding,328,12.6,6.3,3.9,1.4,42.4,16.5,11.1,3,180,0.7,180.8,0.2,0.1,0.2,0.074,0.026,0.4,2.6,1.3,0.3,9.3,0.048,0.7,0.066,97.5,0.1,1.3,37.5,0.2,225,440,0.069,69.795
5,5,chocolate pudding,213,6.9,1.9,4.1,0.2,34.5,25.8,3.1,0,1.5,0.2,104.2,0.045,0.003,0.061,0.044,0.1,0.2,0.4,0.062,0.5,0,0.5,0.066,76.5,0.1,1.9,27,0.2,84,276,0,0.5,123.424
6,6,lemon pudding,173,4.4,2.6,1.3,0.2,30.2,0,4.1,0,16.5,0.4,109.8,0.026,0.092,0.071,0.028,0.2,0.1,0.4,0.083,1.2,0,0,0,148.5,0.070,0.058,16.5,0.007,307.5,190.5,0.041,0.5,188.516
7,7,vanilla pudding,195,5.7,1.5,3.4,0.1,33.9,25.5,2.2,0,1.5,0.3,107.5,0.018,0.012,0.084,0.092,0.1,0.047,0.2,0.048,0.3,0,0.5,0.034,73.5,0.080,0.1,6,0.031,61.5,97.5,0,0.2,115.796
8,8,profeel proteiinirahka valio,140,0.4,0.2,16.8,16.8,19.3,0.2,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.7
9,9,cottage cheese creamed,20,0.9,0.3,0.2,0.084,0.7,0.5,2.2,0,3.4,0.095,16,0.022,0.089,0.039,0.060,0.060,0.059,0.1,0.036,0,0.085,0.082,0,16.6,0.019,0.071,1.6,0.009,31.8,20.8,0.045,0.018,20.576
10,10,zaziki milfina,51,4.4,1.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
11,11,cottage cheese low fat,163,2.3,1.5,0.7,0.041,6.1,6.1,28,0,9,0.9,186.4,0.021,0.081,0.005,0.072,0.4,0.3,0.5,0.2,0,0,0.035,0.024,137.9,0.005,0.3,11.3,0.041,302.8,194.4,0.055,0.9,174.683
12,12,cottage cheese nonfat,104,0.4,0.2,0.1,0.066,9.7,2.7,15,0,10.2,0.5,117.5,0.093,0.063,0.013,0.006,0.3,0.2,0.6,0.039,0,0,0.096,0,124.7,0.071,0.2,16,0.063,275.5,198.7,0.063,0.7,150.072
13,13,vanilla yogurt low fat,208,3.1,2,0.8,0.036,33.8,33.8,12.1,0,12.3,0.2,193.6,0.051,0.1,0.054,0.010,0.5,0.3,1.4,0.1,2,0,0.029,0.024,419,0.012,0.2,39.2,0.023,330.8,536.6,0.049,2,470.265
14,14,classique yogurt plain 2 liberte,30,1.2,0.7,0.7,0,1.7,1.7,3.3,0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
15,15,yoplait light strawberry yogurt yoplait,79,0,14.1,8.8,4.4,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061
