tz,name,feature,long,countycode,state,pop,elev,lat,featclass,wikilink,id
America/Chicago,Bay Minette,PPL,-87.77305,003,AL,7858,82,30.88296,P,"36507,http://en.wikipedia.org/wiki/Bay_Minette%2C_Alabama",4046255
America/Chicago,Edna,PPL,-96.64609,239,TX,5788,20,28.97859,P,"77957,http://en.wikipedia.org/wiki/Edna%2C_Texas",4046274
America/Chicago,Bayou La Batre,PPL,-88.24852,097,AL,2831,2,30.40352,P,"36509,http://en.wikipedia.org/wiki/Bayou_La_Batre%2C_Alabama",4046319
America/Chicago,Henderson,PPL,-94.79938,401,TX,10921,156,32.15322,P,"75652,75653,75654,Khenderson,http://en.wikipedia.org/wiki/Henderson%2C_Texas,Хендерсон",4046332
America/Chicago,Natalia,PPL,-98.86253,325,TX,1830,209,29.18968,P,"78059,http://en.wikipedia.org/wiki/Natalia%2C_Texas",4046430
America/Chicago,New Falcon,PPL,-99.09559,505,TX,202,127,26.63866,P,http://en.wikipedia.org/wiki/New_Falcon%2C_Texas,4046434
America/Chicago,Rankin,PPL,-96.70666,139,TX,718,144,32.2057,P,,4046474
America/Chicago,Bear Creek,PPL,-87.70058,093,AL,993,246,34.27482,P,"35543,http://en.wikipedia.org/wiki/Bear_Creek%2C_Alabama",4046499
America/Chicago,South Toledo Bend,PPL,-93.60462,351,TX,632,55,31.15324,P,http://en.wikipedia.org/wiki/South_Toledo_Bend%2C_Texas,4046538
America/Chicago,Beatrice,PPL,-87.20471,099,AL,398,82,31.73349,P,"36425,http://en.wikipedia.org/wiki/Beatrice%2C_Alabama",4046667
America/New_York,Fort Hunt,PPL,-77.05803,059,VA,13011,10,38.73289,P,http://en.wikipedia.org/wiki/Fort_Hunt%2C_Virginia,4046704
America/New_York,Hallwood,PPL,-75.58909,001,VA,290,6,37.87763,P,"23359,http://en.wikipedia.org/wiki/Hallwood%2C_Virginia",4046734
America/Chicago,Beaverton,PPL,-88.02031,075,AL,209,115,33.93122,P,"35544,http://en.wikipedia.org/wiki/Beaverton%2C_Alabama",4046907
America/New_York,Yorktown,PPL,-76.50967,199,VA,217,2,37.23876,P,"23690,23691,23692,23693,http://en.wikipedia.org/wiki/Yorktown%2C_Virginia",4046946
America/New_York,Hambleton,PPL,-79.64534,093,WV,245,525,39.08205,P,"26269,http://en.wikipedia.org/wiki/Hambleton%2C_West_Virginia",4047028
America/Chicago,Brighton,PPL,-86.94721,073,AL,3390,155,33.43428,P,"Brajton,http://en.wikipedia.org/wiki/Brighton%2C_Alabama,Брайтон",4047198
America/Chicago,Akron,PPL,-87.74251,065,AL,508,40,32.87652,P,"35441,Akron,http://en.wikipedia.org/wiki/Akron%2C_Alabama,Акрон",4047204
America/Chicago,Belk,PPL,-87.93141,057,AL,206,97,33.64761,P,"35545,http://en.wikipedia.org/wiki/Belk%2C_Alabama",4047225
America/Chicago,East Camden,PPL,-92.74016,103,AR,836,40,33.60789,P,http://en.wikipedia.org/wiki/East_Camden%2C_Arkansas,4047424
America/Chicago,The Colony,PPL,-86.90167,043,AL,385,140,33.94566,P,,4047464
America/Chicago,Wilton,PPL,-86.88166,117,AL,593,121,33.07873,P,"35187,http://en.wikipedia.org/wiki/Wilton%2C_Alabama",4047474
America/Chicago,Cove,PPL,-94.41132,113,AR,383,319,34.43511,P,"71937,http://en.wikipedia.org/wiki/Cove%2C_Arkansas",4047540
America/Chicago,Guy,PPL,-92.33432,045,AR,206,208,35.32536,P,"72061,http://en.wikipedia.org/wiki/Guy%2C_Arkansas",4047572
America/Chicago,Pollard,PPL,-90.26843,021,AR,227,103,36.43089,P,"72456,http://en.wikipedia.org/wiki/Pollard%2C_Arkansas",4047658
